Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>"
5187009176,"Apr 24, 2021, 1:16:27 PM",Morning Run,Run,,1019,3.31,,,false,,,activities/5527542407.fit.gz,,,1019.0,886.0,3313.199951171875,7.0,3.7395033836364746,29.584064483642578,27.584064483642578,19.200000762939453,29.700000762939453,13.199999809265137,0.060364603996276855,,,,,,,,,215.0,,,,,,,,,,,,,,,,0.0,,1.0,3383.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187009780,"Apr 21, 2021, 12:02:56 PM",Morning Run,Run,,2346,8.73,156.0,52,false,,,activities/5527542969.fit.gz,,,2346.0,2215.0,8737.7998046875,6.800000190734863,3.9448306560516357,65.41925811767578,63.6192626953125,19.5,37.70000076293945,16.299999237060547,0.020600151270627975,,,,,,149.2521514892578,,,585.0,,,52.0,,,,,,,,,,,,,0.0,,1.0,8850.400390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187009815,"Apr 20, 2021, 11:56:58 AM",Morning Run,Run,,2330,8.77,163.0,56,false,,,activities/5527543019.fit.gz,,,2330.0,2189.0,8774.900390625,6.699999809265137,4.008634090423584,61.343971252441406,61.14397048950195,19.5,38.20000076293945,10.699999809265137,0.0022792282979935408,,,,,,151.5315704345703,,,588.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,8862.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187010114,"Apr 17, 2021, 2:23:50 PM",Morning Run,Run,,1112,4.15,166.0,33,false,,,activities/5527543353.fit.gz,,,1112.0,1109.0,4156.7001953125,5.800000190734863,3.7481515407562256,35.182525634765625,29.782527923583984,19.600000381469727,37.70000076293945,16.799999237060547,0.12991075217723846,,,,,,156.38934326171875,,,282.0,,,33.0,,,,,,,,,,,,,0.0,,1.0,4231.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187010388,"Apr 16, 2021, 12:27:00 PM",Morning Run,Run,,2783,10.59,157.0,67,false,,,activities/5527543614.fit.gz,,,2783.0,2628.0,10594.599609375,8.600000381469727,4.031430721282959,68.71296691894531,68.5129623413086,19.5,38.79999923706055,11.899999618530273,0.0018877541879191995,,,,,,151.54934692382812,,,709.0,,,67.0,,,,,,,,,,,,,0.0,,1.0,10703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187010520,"Apr 15, 2021, 12:27:17 PM",Morning Run,Run,,2858,10.55,163.0,69,false,,,activities/5527543731.fit.gz,,,2858.0,2732.0,10552.2001953125,8.300000190734863,3.862445116043091,67.08845520019531,65.6884536743164,19.5,37.70000076293945,13.0,0.013267375528812408,,,,,,152.7158660888672,,,709.0,,,69.0,,,,,,,,,,,,,0.0,,1.0,10661.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187010930,"Apr 13, 2021, 12:54:00 PM",Morning Run,Run,,1925,7.23,153.0,45,false,,,activities/5527544174.fit.gz,,,1925.0,1824.0,7237.7998046875,6.199999809265137,3.968092203140259,43.52297592163086,38.02297592163086,19.399999618530273,37.70000076293945,17.600000381469727,0.07598993927240372,,,,,,150.66062927246094,,,485.0,,,45.0,,,,,,,,,,,,,0.0,,1.0,7321.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187012206,"Apr 11, 2021, 1:32:34 PM",Morning Run,Run,,6305,22.66,174.0,190,false,,,activities/5527545458.fit.gz,,,6305.0,5919.0,22665.099609375,8.600000381469727,3.8292109966278076,224.70347595214844,224.60348510742188,2.5,70.69999694824219,20.600000381469727,0.0004412069683894515,,,,,,159.14466857910156,,,1551.0,,,190.0,,,,,,,,,,,,,0.0,,1.0,23097.80078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187012314,"Apr 14, 2021, 12:07:19 PM",Morning Run,Run,,2739,10.25,163.0,42,false,,,activities/5527545654.fit.gz,,,2739.0,2739.0,10258.7001953125,11.399999618530273,3.745418071746826,0.0,,,,0.0,0.0,,,,,,140.58889770507812,,,688.0,,,42.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187017417,"Apr 10, 2021, 2:13:16 PM",Morning Run,Run,,1315,4.80,163.0,36,false,,,activities/5527550899.fit.gz,,,1315.0,1266.0,4800.0,5.099999904632568,3.791469097137451,39.686790466308594,42.38678741455078,3.9000000953674316,25.399999618530273,24.600000381469727,-0.05624999850988388,,,,,,157.3520965576172,,,319.0,,,36.0,,,,,,,,,,,,,0.0,,1.0,4884.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187017598,"Apr 10, 2021, 12:38:46 PM",Morning Run,Run,,935,3.54,,,false,,,activities/5527551108.fit.gz,,,935.0,932.0,3542.800048828125,8.300000190734863,3.8012876510620117,31.250993728637695,30.350994110107422,11.800000190734863,32.599998474121094,16.0,0.025403635576367378,,,,,,,,,254.0,,,,,,,,,,,,,,,,0.0,,1.0,3602.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187017991,"Apr 9, 2021, 12:21:45 PM",Morning Run,Run,,2928,9.88,160.0,56,false,,,activities/5527551450.fit.gz,,,2928.0,2355.0,9881.0,7.900000095367432,4.195753574371338,65.03240966796875,64.93240356445312,17.299999237060547,37.70000076293945,17.399999618530273,0.0010120433289557695,,,,,,150.49424743652344,,,624.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,10000.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5187018370,"Apr 5, 2021, 12:39:40 PM",Morning Run,Run,,1309,4.70,154.0,29,false,,,activities/5527551912.fit.gz,,,1309.0,1170.0,4704.2998046875,5.599999904632568,4.020769119262695,35.98004913330078,35.88004684448242,20.700000762939453,38.20000076293945,9.399999618530273,0.002125714672729373,,,,,,151.36044311523438,,,314.0,,,29.0,,,,,,,,,,,,,0.0,,1.0,4761.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
